
2024/07/29 (19:22:18) | ===> btop++ v.1.3.2
2024/07/29 (19:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (23:45:17) | ===> btop++ v.1.3.2
2024/07/31 (23:45:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (23:45:43) | ===> btop++ v.1.3.2
2024/07/31 (23:45:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (16:28:36) | ===> btop++ v.1.3.2
2024/08/01 (16:28:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (16:28:47) | ===> btop++ v.1.3.2
2024/08/01 (16:28:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
